Id,Id2,Geography,Total population
0400000US01,1,Alabama,4712651
0400000US02,2,Alaska,691189
0400000US04,4,Arizona,6246816
0400000US05,5,Arkansas,2872684
0400000US06,6,California,36637290
0400000US08,8,Colorado,4887061
0400000US09,9,Connecticut,3545837
0400000US10,10,Delaware,881278
0400000US11,11,District of Columbia,584400
0400000US12,12,Florida,18511620
0400000US13,13,Georgia,9468815
0400000US15,15,Hawaii,1333591
0400000US16,16,Idaho,1526797
0400000US17,17,Illinois,12745359
0400000US18,18,Indiana,6417398
0400000US19,19,Iowa,3016267
0400000US20,20,Kansas,2809329
0400000US21,21,Kentucky,4285828
0400000US22,22,Louisiana,4429940
0400000US23,23,Maine,1327665
0400000US24,24,Maryland,5696423
0400000US25,25,Massachusetts,6477096
0400000US26,26,Michigan,9952687
0400000US27,27,Minnesota,5241914
0400000US28,28,Mississippi,2941991
0400000US29,29,Missouri,5922314
0400000US30,30,Montana,973739
0400000US31,31,Nebraska,1799125
0400000US32,32,Nevada,2633331
0400000US33,33,New Hampshire,1313939
0400000US34,34,New Jersey,8721577
0400000US35,35,New Mexico,2013122
0400000US36,36,New York,19229752
0400000US37,37,North Carolina,9271178
0400000US38,38,North Dakota,659858
0400000US39,39,Ohio,11512431
0400000US40,40,Oklahoma,3675339
0400000US41,41,Oregon,3761925
0400000US42,42,Pennsylvania,12612705
0400000US44,44,Rhode Island,1056389
0400000US45,45,South Carolina,4511428
0400000US46,46,South Dakota,799462
0400000US47,47,Tennessee,6234968
0400000US48,48,Texas,24311891
0400000US49,49,Utah,2657236
0400000US50,50,Vermont,624258
0400000US51,51,Virginia,7841754
0400000US53,53,Washington,6561297
0400000US54,54,West Virginia,1840802
0400000US55,55,Wisconsin,5637947
0400000US56,56,Wyoming,545579
0400000US72,72,Puerto Rico,3762322
